Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000199,2013-08-28,2013-10-20,"Righteous Kill (2008), Ocean's 13 (2007), Two for the Money (2005), The Recruit (2003), The Devil's Advocate (1997), Heat (1995), Carlito's Way (1993), Scent of a Woman (1992), Frankie and Johnny (1991), The Godfather: Part III (1990), Dick Tracy (1990), The Godfather: Part II (1974), The Godfather (1972)","Al Pacino","Serpico","April 25, 1940"
2,nm0000169,2013-08-28,2013-08-28,,"Tommy Lee Jones","The Homesman","September 15, 1946"
3,nm0000148,2013-08-28,2013-08-28,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
4,nm0000134,2013-08-28,2013-08-28,,"Robert De Niro","Cape Fear","August 17, 1943"
5,nm0000126,2013-08-28,2013-08-28,,"Kevin Costner","The Postman","January 18, 1955"
6,nm0000174,2013-08-28,2013-08-28,,"Val Kilmer","The Doors","December 31, 1959"
7,nm0000136,2013-08-28,2013-08-28,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","June 9, 1963"
8,nm0000553,2013-08-28,2013-08-28,,"Liam Neeson","Kinsey","June 7, 1952"
9,nm0000551,2013-08-28,2013-08-28,,"Dermot Mulroney","My Best Friend's Wedding","October 31, 1963"
10,nm0000576,2013-08-28,2013-08-28,,"Sean Penn","Mystic River","August 17, 1960"
11,nm0000093,2013-08-28,2013-08-28,,"Brad Pitt","Fight Club","December 18, 1963"
12,nm0000146,2013-08-28,2013-08-28,,"Ralph Fiennes","The Constant Gardener","December 22, 1962"
13,nm0000293,2013-08-28,2013-08-28,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","April 17, 1959"
14,nm0000125,2013-08-28,2013-08-28,,"Sean Connery","Dr. No","August 25, 1930"
15,nm0000147,2013-08-28,2013-08-28,,"Colin Firth","A Single Man","September 10, 1960"
16,nm0001570,2013-08-28,2013-08-28,,"Edward Norton","Fight Club","August 18, 1969"
17,nm0000164,2013-08-28,2013-08-28,,"Anthony Hopkins","The Silence of the Lambs","December 31, 1937"
18,nm0000243,2013-08-28,2013-08-28,,"Denzel Washington","Fences","December 28, 1954"
19,nm0000128,2013-08-28,2013-10-20,"Body of Lies (2008), Man of Steel (2013), Broken City (2013), Robin Hood (2010), American Gangster (2007), A Good Year (2006), Cinderella Man (2005), A Beautiful Mind (2001), Gladiator (2000), L.A. Confidential (1997), The Quick and the Dead (1995),","Russell Crowe","Les Misérables","April 7, 1964"
20,nm0000450,2013-08-28,2013-08-28,,"Philip Seymour Hoffman","The Master","July 23, 1967"
21,nm0001557,2013-08-28,2013-08-28,,"Viggo Mortensen","Captain Fantastic","October 20, 1958"
22,nm0000313,2013-08-28,2013-08-28,,"Jeff Bridges","The Big Lebowski","December 4, 1949"
23,nm0000138,2013-08-28,2013-10-20,"Body of Lies (2008), The Great Gatsby (2013), Django Unchained (2012), J. Edgar (2011), Inception (2010), Shutter Island (2010), Revolutionary Road (2008), Blood Diamond (2006), The Departed (2006), The Aviator (2004), Catch Me If You Can (2002), Gangs of New York (2002), The Beach (2000), The Man in the Iron Mask (1998), Titanic (1997), Romeo + Juliet (1996), The Quick and the Dead (1995)","Leonardo DiCaprio","Inception","November 11, 1974"
24,nm0000197,2013-08-28,2013-08-28,,"Jack Nicholson","Chinatown","April 22, 1937"
25,nm0000151,2013-08-28,2013-08-28,,"Morgan Freeman","Se7en","June 1, 1937"
26,nm0000228,2013-08-28,2013-08-28,,"Kevin Spacey","L.A. Confidential","July 26, 1959"
27,nm0001125,2013-08-28,2013-10-20,"Che (2008), Things We Lost in the Fire (2007), 21 Grams (2003), Sin City (2005), The Hunted (2003), Traffic (2000), Drug Wars: The Camarena Story (1990)","Benicio Del Toro","Sicario","February 19, 1967"
28,nm0000190,2013-08-28,2013-08-28,,"Matthew McConaughey","Interstellar","November 4, 1969"
29,nm0000358,2013-08-28,2013-08-28,,"Daniel Day-Lewis","There Will Be Blood","April 29, 1957"
30,nm0000179,2013-08-28,2013-08-28,,"Jude Law","The Talented Mr. Ripley","December 29, 1972"
31,nm0913822,2013-08-28,2013-08-28,,"Ken Watanabe","The Last Samurai","October 21, 1959"
32,nm0000112,2013-08-28,2013-08-28,,"Pierce Brosnan","The World Is Not Enough","May 16, 1953"
33,nm0000246,2013-08-28,2013-08-28,,"Bruce Willis","Die Hard","March 19, 1955"
34,nm0000518,2013-08-28,2013-08-28,,"John Malkovich","Being John Malkovich","December 9, 1953"
35,nm0000661,2013-08-28,2013-08-28,,"Donald Sutherland","The Hunger Games: Catching Fire","July 17, 1935"
36,nm0000198,2013-08-28,2013-08-28,,"Gary Oldman","Tinker Tailor Soldier Spy","March 21, 1958"
37,nm0001626,2013-08-28,2013-08-28,,"Christopher Plummer","Beginners","December 13, 1929"
38,nm0185819,2013-08-28,2013-08-28,,"Daniel Craig","No Time to Die","March 2, 1968"
39,nm0322513,2013-08-28,2013-08-28,,"Iain Glen","Game of Thrones","June 24, 1961"
40,nm0413168,2013-08-28,2013-08-28,,"Hugh Jackman","Les Misérables","October 12, 1968"
41,nm0000115,2013-08-28,2013-10-20,"Seeking Justice (2011)","Nicolas Cage","Face/Off","January 7, 1964"
42,nm0000206,2013-08-28,2013-08-28,,"Keanu Reeves","The Matrix","September 2, 1964"
43,nm0654110,2013-08-28,2013-08-28,,"Clive Owen","Closer","October 3, 1964"
44,nm0000123,2013-08-28,2013-08-28,,"George Clooney","The Ides of March","May 6, 1961"
45,nm0000437,2013-08-28,2013-08-28,,"Woody Harrelson","True Detective","July 23, 1961"
46,nm0000237,2013-08-28,2013-08-28,,"John Travolta","Pulp Fiction","February 18, 1954"
47,nm0004937,2013-08-28,2013-08-28,,"Jamie Foxx","Collateral","December 13, 1967"
48,nm0000460,2013-08-28,2013-08-28,,"Jeremy Irons","Dead Ringers","September 19, 1948"
49,nm0000685,2013-08-28,2013-08-28,,"Jon Voight","Midnight Cowboy","December 29, 1938"
50,nm0000188,2013-08-28,2013-08-28,,"Steve Martin","Roxanne","August 14, 1945"
51,nm0000432,2013-08-28,2013-08-28,,"Gene Hackman","The French Connection","January 30, 1930"
52,nm0000142,2013-08-28,2013-08-28,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
53,nm0000245,2013-08-28,2013-08-28,,"Robin Williams","Mrs. Doubtfire","July 21, 1951"
54,nm0000323,2013-08-28,2013-08-28,,"Michael Caine","Youth","March 14, 1933"
55,nm0000686,2013-08-28,2013-08-28,,"Christopher Walken","The Deer Hunter","March 31, 1943"
56,nm0000158,2013-08-28,2013-08-28,,"Tom Hanks","Cast Away","July 9, 1956"
57,nm0929489,2013-08-28,2013-08-28,,"Tom Wilkinson","Michael Clayton","February 5, 1948"
58,nm0000288,2013-08-28,2013-08-28,,"Christian Bale","The Dark Knight","January 30, 1974"
59,nm0001618,2013-08-28,2013-08-28,,"Joaquin Phoenix","Walk the Line","October 28, 1974"
60,nm0001426,2013-08-28,2013-08-28,,"Ben Kingsley","Sexy Beast","December 31, 1943"
61,nm0000129,2013-08-28,2013-08-28,,"Tom Cruise","Top Gun","July 3, 1962"
62,nm0000375,2013-08-28,2013-08-28,,"Robert Downey Jr.","Iron Man","April 4, 1965"
63,nm0000160,2013-08-28,2013-08-28,,"Ethan Hawke","Training Day","November 6, 1970"
64,nm0000354,2013-08-28,2013-10-31,"Promised Land (2012), Margaret (2011), Contagion (2011), The Adjustment Bureau (2011), Hereafter (2010), The Bourne Ultimatum (2007), Ocean's 13 (2007), The Good Shepherd (2006), The Departed (2006), Syriana (2005), The Brothers Grimm (2005), Ocean's 12 (2004), The Bourne Supremacy (2004), Stuck on You (2003), The Bourne Identity (2002), Ocean's 11 (2001), The Legend of Bagger Vance (2000), The Talented Mr. Ripley (1999), Good Will Hunting (1997), Courage Under Fire (1996), Elysium (2013), We Bought a Zoo (2011)","Matt Damon","Good Will Hunting","October 8, 1970"
65,nm0000172,2013-08-28,2013-08-28,,"Harvey Keitel","Reservoir Dogs","May 13, 1939"
66,nm0000163,2013-08-28,2013-08-28,,"Dustin Hoffman","Tootsie","August 8, 1937"
67,nm0000102,2013-08-28,2013-08-28,,"Kevin Bacon","Footloose","July 8, 1958"
68,nm0000225,2013-08-28,2013-08-28,,"Christian Slater","Very Bad Things","August 18, 1969"
69,nm0000242,2013-08-28,2013-08-28,,"Mark Wahlberg","The Fighter","June 5, 1971"
70,nm0000438,2013-08-30,2013-08-30,,"Ed Harris","Appaloosa","November 28, 1950"
71,nm0000177,2013-08-30,2013-08-30,,"Kevin Kline","Wild Wild West","October 24, 1947"
72,nm0000418,2013-08-30,2013-08-30,,"Danny Glover","Lethal Weapon","July 22, 1946"
73,nm0000104,2013-08-30,2013-08-30,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
74,nm0000391,2013-08-30,2013-08-30,,"Rupert Everett","My Best Friend's Wedding","May 29, 1959"
75,nm0000140,2013-08-30,2013-08-30,,"Michael Douglas","Behind the Candelabra","September 25, 1944"
76,nm0001251,2013-08-30,2013-08-30,,"Peter Gallagher","American Beauty","August 19, 1955"
77,nm0001427,2013-08-30,2013-08-30,,"Greg Kinnear","As Good as It Gets","June 17, 1963"
78,nm0004051,2013-08-30,2013-08-30,,"Brian Cox","Succession","June 1, 1946"
79,nm0322407,2013-08-30,2013-08-30,,"Brendan Gleeson","Calvary","March 29, 1955"
80,nm0000421,2013-08-30,2013-08-30,,"Cuba Gooding Jr.","Jerry Maguire","January 2, 1968"
81,nm0000564,2013-08-30,2013-08-30,,"Peter O'Toole","Lawrence of Arabia","August 2, 1932"
82,nm0000886,2013-08-30,2013-08-30,,"Warren Beatty","Reds","March 30, 1937"
83,nm0000216,2013-08-30,2013-08-30,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
84,nm0910607,2013-08-30,2013-08-30,,"Christoph Waltz","Django Unchained","October 4, 1956"
85,nm0000602,2013-08-30,2013-08-30,,"Robert Redford","The Natural","August 18, 1936"
86,nm0177933,2013-08-30,2013-08-30,,"Chris Cooper","Adaptation.","July 9, 1951"
87,nm0000458,2013-08-30,2013-08-30,,"William Hurt","A History of Violence","March 20, 1950"
88,nm0000321,2013-08-30,2013-08-30,,"Gabriel Byrne","The Usual Suspects","May 12, 1950"
89,nm0631490,2013-08-30,2013-08-30,,"Bill Nighy","Love Actually","December 12, 1949"
90,nm0788335,2013-09-08,2013-09-08,,"Michael Shannon","Take Shelter","August 7, 1974"
91,nm0000501,2013-09-08,2013-09-08,,"Ray Liotta","GoodFellas","December 18, 1954"
92,nm0790688,2013-09-23,2013-09-23,,"Michael Sheen","Masters of Sex","February 5, 1969"
93,nm0001691,2013-09-26,2013-09-26,,"Geoffrey Rush","The King's Speech","July 6, 1951"
94,nm0001394,2013-09-26,2013-09-26,,"Derek Jacobi","Gosford Park","October 22, 1938"
95,nm0001602,2013-09-26,2013-11-01,"Prometheus (2012), Lockout (2012), The King's Speech (2010), Death Defying Acts (2007), Factory Girl (2006), The Time Machine (2002), The Count of Monte Cristo (2002), Memento (2000), L.A. Confidential (1997), Breathe In (2013), Lawless (2012), 33 Postcards (2011), Seeking Justice (2011), Till Human Voices Wake Us (2002), Iron Man 3 (2013)","Guy Pearce","Memento","October 5, 1967"
96,nm0005458,2013-10-20,2013-10-20,"Blitz (2011), Parker (2013), The Expendables 2 (2012), Safe (2012), The Expendables (2010), Transporter 3 (2008), Crank (2006), Transporter 2 (2005), Cellular (2004), The Italian Job (2003), The Transporter (2002)","Jason Statham","Crank","July 26, 1967"
97,nm0316079,2013-10-20,2013-10-20,"Parkland (2013)","Paul Giamatti","Sideways","June 6, 1967"
98,nm0000671,2013-10-20,2013-10-20,"Parkland (2013)","Billy Bob Thornton","Sling Blade","August 4, 1955"
99,nm0000867,2013-10-24,2013-10-28,"Disconnect (2012), Horrible Bosses (2011), Forgetting Sarah Marshall (2008), The Sweetest Thing (2002), The Break-Up (2006), The Kingdom (2007), Up in the Air (2009)","Jason Bateman","Arrested Development","January 14, 1969"
100,nm0000129,2013-10-26,2013-10-26,"Mission: Impossible - Ghost Protocol (2011), Valkyrie (2008), Mission: Impossible III (2006), The Last Samurai (2003), Mission: Impossible II (2000), Eyes Wide Shut (1999), Jerry Maguire (1996), Mission: Impossible (1996), War of the Worlds (2005), Interview with the Vampire: The Vampire Chronicles (1994), A Few Good Men (1992), The Firm (1993), Far and Away (1992), Days of Thunder (1990), Born on the Fourth of July (1989), Rain Man (1988), Cocktail (1988), The Color of Money (1986), Top Gun (1986), Risky Business (1983), The Outsiders (1983), Taps (1981),","Tom Cruise","Top Gun","July 3, 1962"
101,nm0001518,2013-10-27,2013-10-27,,"Dylan McDermott","The Practice","October 26, 1961"
102,nm0005202,2013-10-30,2013-10-30,,"Eric McCormack","Will & Grace","April 18, 1963"
103,nm0000332,2013-11-01,2013-11-01,,"Don Cheadle","Crash","November 29, 1964"
104,nm0000168,2013-11-01,2013-11-01,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
105,nm0005024,2013-11-01,2013-11-01,,"Terrence Howard","Hustle & Flow","March 11, 1969"
106,nm0000191,2013-11-04,2013-11-04,,"Ewan McGregor","Moulin Rouge!","March 31, 1971"
107,nm0001772,2013-11-05,2013-11-05,,"Patrick Stewart","Logan","July 13, 1940"
108,nm0350453,2013-11-09,2013-11-09,,"Jake Gyllenhaal","Nightcrawler","December 19, 1980"
