Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000173,2013-08-28,2013-08-28,,"Nicole Kidman","Moulin Rouge!","June 20, 1967"
2,nm0000098,2013-08-28,2013-08-28,,"Jennifer Aniston","Friends","February 11, 1969"
3,nm0000949,2013-08-28,2013-08-28,,"Cate Blanchett","Carol","May 14, 1969"
4,nm0915208,2013-08-28,2013-08-28,,"Naomi Watts","Mulholland Dr.","September 28, 1968"
5,nm0000210,2013-08-28,2013-08-28,,"Julia Roberts","Pretty Woman","October 28, 1967"
6,nm0001401,2013-08-28,2013-08-28,,"Angelina Jolie","Maleficent","June 4, 1975"
7,nm0000193,2013-08-28,2013-08-28,,"Demi Moore","G.I. Jane","November 11, 1962"
8,nm0000084,2013-08-28,2013-08-28,,"Gong Li","Man cheng jin dai huang jin jia","December 31, 1965"
9,nm0461136,2013-08-28,2013-08-28,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","March 26, 1985"
10,nm0005026,2013-08-28,2013-08-28,,"Kelly Hu","The Scorpion King","February 13, 1968"
11,nm0004266,2013-08-28,2013-08-28,,"Anne Hathaway","Les Misérables","November 12, 1982"
12,nm0000706,2013-08-28,2013-08-28,,"Michelle Yeoh","Everything Everywhere All at Once","August 6, 1962"
13,nm0000668,2013-08-28,2013-08-28,,"Emma Thompson","Sense and Sensibility","April 15, 1959"
14,nm0000658,2013-08-28,2013-08-28,,"Meryl Streep","Out of Africa","June 22, 1949"
15,nm0000194,2013-08-28,2013-08-28,,"Julianne Moore","Far from Heaven","December 3, 1960"
16,nm0000149,2013-08-28,2013-08-28,,"Jodie Foster","The Silence of the Lambs","November 19, 1962"
17,nm0000623,2013-08-28,2013-08-28,,"Rene Russo","Nightcrawler","February 17, 1954"
18,nm0001749,2013-08-28,2013-08-28,,"Maggie Smith","Gosford Park","December 28, 1934"
19,nm0000113,2013-08-28,2013-08-28,,"Sandra Bullock","The Proposal","July 26, 1964"
20,nm0001132,2013-08-28,2013-08-28,,"Judi Dench","Skyfall","December 9, 1934"
