Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm5052065,2018-07-27,2018-07-27,,"Ansel Elgort","The Fault in Our Stars","March 14, 1994"
2,nm0004747,2018-07-27,2018-07-27,,"Wes Bentley","American Beauty","September 4, 1978"
3,nm0252230,2018-07-27,2018-07-27,,"Chiwetel Ejiofor","12 Years a Slave","July 10, 1977"
4,nm0881631,2018-07-27,2018-07-27,,"Karl Urban","Star Trek","June 7, 1972"
5,nm1429380,2018-07-27,2018-07-27,,"Britt Robertson","Tomorrowland","April 18, 1990"
6,nm3229685,2018-07-27,2018-07-27,,"Kit Harington","Game of Thrones","December 26, 1986"
7,nm0035514,2018-07-27,2018-07-27,,"Richard Armitage","The Hobbit: An Unexpected Journey","August 22, 1971"
8,nm0790688,2018-07-27,2018-07-27,,"Michael Sheen","Masters of Sex","February 5, 1969"
9,nm0182666,2018-07-27,2018-07-27,,"Nikolaj Coster-Waldau","Game of Thrones","July 27, 1970"
10,nm0318821,2018-07-27,2018-07-27,,"Aidan Gillen","Game of Thrones","April 24, 1968"
11,nm0589505,2018-07-27,2018-07-27,,"Wentworth Miller","Prison Break","June 2, 1972"
12,nm2254074,2018-07-27,2018-07-27,,"Bella Thorne","The DUFF","October 8, 1997"
13,nm6663708,2018-07-27,2018-07-27,,"Madelaine Petsch","Riverdale","August 18, 1994"
14,nm0372176,2018-07-27,2018-07-27,,"Lena Headey","300","October 3, 1973"
15,nm0164809,2018-07-27,2018-07-27,,"Jason Clarke","Zero Dark Thirty","July 17, 1969"
16,nm1195855,2018-07-27,2018-07-27,,"Lee Pace","Foundation","March 25, 1979"
17,nm0885840,2018-07-27,2018-07-27,,"Emily VanCamp","Revenge","May 12, 1986"
18,nm0005023,2018-07-27,2018-07-27,,"Djimon Hounsou","Blood Diamond","April 24, 1964"
19,nm1275259,2018-07-27,2018-07-27,,"Alexandra Daddario","Baywatch","March 16, 1986"
20,nm3586035,2018-07-27,2018-07-27,,"Maisie Williams","The New Mutants","April 15, 1997"
21,nm3729225,2018-07-31,2018-07-31,,"Gwendoline Christie","Star Wars: Episode VIII - The Last Jedi","October 28, 1978"
22,nm1431940,2018-07-31,2018-07-31,,"Evangeline Lilly","The Hobbit: The Desolation of Smaug","August 3, 1979"
23,nm0010075,2018-07-31,2018-07-31,,"Jensen Ackles","Supernatural","March 1, 1978"
24,nm2394794,2018-07-31,2018-07-31,,"Karen Gillan","Selfie","November 28, 1987"
25,nm1754059,2018-07-31,2018-07-31,,"Natalie Dormer","Game of Thrones","February 11, 1982"
26,nm1107001,2018-07-31,2018-07-31,,"Anthony Mackie","The Hurt Locker","September 23, 1978"
27,nm0819850,2018-07-31,2018-07-31,,"Cole Sprouse","Riverdale","August 4, 1992"
28,nm1659221,2018-07-31,2018-07-31,,"Sebastian Stan","Captain America: The Winter Soldier","August 13, 1982"
29,nm2955013,2018-07-31,2018-07-31,,"Liam Hemsworth","The Hunger Games","January 13, 1990"
30,nm0636426,2018-07-31,2018-07-31,,"Noomi Rapace","Män som hatar kvinnor","December 28, 1979"
31,nm1411125,2018-07-31,2018-07-31,,"Selena Gomez","Spring Breakers","July 22, 1992"
32,nm5473782,2018-08-01,2018-08-01,,"Taron Egerton","Kingsman: The Secret Service","November 10, 1989"
33,nm0001326,2018-08-01,2018-08-01,,"Josh Hartnett","Lucky Number Slevin","July 21, 1978"
34,nm0000609,2018-08-01,2018-08-01,,"Ving Rhames","Pulp Fiction","May 12, 1959"
35,nm3915784,2018-08-01,2018-08-01,,"John Boyega","Star Wars: Episode VII - The Force Awakens","March 17, 1992"
36,nm5397459,2018-08-01,2018-08-01,,"Daisy Ridley","Star Wars: Episode VII - The Force Awakens","April 10, 1992"
37,nm0279545,2018-08-01,2018-08-01,,"Isla Fisher","Wedding Crashers","February 3, 1976"
38,nm0005188,2018-08-01,2018-08-01,,"James Marsden","Hairspray","September 18, 1973"
39,nm4141252,2018-08-01,2018-08-01,,"Lily James","Cinderella","April 5, 1989"
40,nm1551130,2018-08-01,2018-08-01,,"Keke Palmer","Nope","August 26, 1993"
41,nm0001264,2018-08-01,2018-08-01,,"Sarah Michelle Gellar","Buffy the Vampire Slayer","April 14, 1977"
42,nm3729721,2018-08-01,2018-08-01,,"Dylan O'Brien","Teen Wolf","August 26, 1991"
43,nm0001349,2018-08-03,2018-08-03,,"Jennifer Love Hewitt","I Know What You Did Last Summer","February 21, 1979"
44,nm0002127,2018-08-03,2018-08-03,,"Mariska Hargitay","Law & Order: Special Victims Unit","January 23, 1964"
45,nm0601553,2018-08-03,2018-08-03,,"Mandy Moore","A Walk to Remember","April 10, 1984"
46,nm1377375,2018-08-03,2018-08-03,,"Rachel Bilson","Jumper","August 25, 1981"
47,nm0731075,2018-08-03,2018-08-03,,"Emma Roberts","We're the Millers","February 10, 1991"
48,nm0221046,2018-08-03,2018-08-03,,"Zooey Deschanel","New Girl","January 17, 1980"
49,nm0000299,2018-08-03,2018-08-03,,"Michael Biehn","Aliens","July 31, 1956"
50,nm0000867,2018-08-03,2018-08-03,,"Jason Bateman","Arrested Development","January 14, 1969"
51,nm1411676,2018-08-03,2018-08-03,,"Mindy Kaling","The Office","June 24, 1979"
52,nm0002907,2018-08-03,2018-08-03,,"Alexander Skarsgård","The Legend of Tarzan","August 25, 1976"
53,nm1102577,2018-08-03,2018-08-03,,"Elle Fanning","Super 8","April 9, 1998"
54,nm2368789,2018-08-03,2018-08-03,,"Zoë Kravitz","The Batman","December 1, 1988"
55,nm1847117,2018-08-03,2018-08-03,,"Janelle Monáe","Hidden Figures","December 1, 1985"
56,nm0000630,2018-08-03,2018-08-03,,"Liev Schreiber","Spotlight","October 4, 1967"
57,nm0316079,2018-08-03,2018-08-03,,"Paul Giamatti","Sideways","June 6, 1967"
58,nm0659363,2018-08-03,2018-08-03,,"Hayden Panettiere","Heroes","August 21, 1989"
59,nm1913734,2018-08-03,2018-08-03,,"Rooney Mara","Carol","April 17, 1985"
60,nm0001786,2018-08-03,2018-08-03,,"George Takei","Star Trek","April 20, 1937"
61,nm0124930,2018-08-07,2018-08-07,,"Gerard Butler","300","November 13, 1969"
62,nm0000648,2018-08-07,2018-08-07,,"Wesley Snipes","Blade","July 31, 1962"
63,nm0001337,2018-08-07,2018-08-07,,"Katherine Heigl","One for the Money","November 24, 1978"
64,nm1455681,2018-08-07,2018-08-07,,"AnnaSophia Robb","Rebel Ridge","December 8, 1993"
65,nm0005517,2018-08-07,2018-08-07,,"Gabrielle Union","Bring It On","October 29, 1972"
66,nm2635467,2018-08-07,2018-08-07,,"Jonas Brothers","Aquamarine",
67,nm6574838,2018-08-07,2018-08-07,,"Meghan Trainor","Smurfs: The Lost Village","December 22, 1993"
68,nm1667364,2018-08-07,2018-08-07,,"Ashley Benson","Spring Breakers","December 18, 1989"
69,nm1242688,2018-08-08,2018-08-08,,"Josh Hutcherson","The Hunger Games","October 12, 1992"
70,nm1631269,2018-08-08,2018-08-08,,"Chloë Grace Moretz","Kick-Ass","February 10, 1997"
71,nm0132257,2018-08-08,2018-08-08,,"Bruce Campbell","Bubba Ho-Tep","June 22, 1958"
72,nm0996669,2018-08-08,2018-08-08,,"Common","John Wick: Chapter 2","March 13, 1972"
73,nm0000321,2018-08-17,2018-08-17,,"Gabriel Byrne","The Usual Suspects","May 12, 1950"
74,nm0006669,2018-08-17,2018-08-17,,"William Sadler","Bill & Ted's Bogus Journey","April 13, 1950"
75,nm0586568,2018-08-17,2018-08-17,,"Mads Mikkelsen","Hannibal","November 22, 1965"
76,nm0202966,2018-08-17,2018-08-17,,"Keith David","The Princess and the Frog","June 4, 1956"
77,nm0000317,2018-08-17,2018-08-17,,"Clancy Brown","The Shawshank Redemption","January 5, 1959"
78,nm0628325,2018-08-17,2018-08-17,,"Julie Newmar","Seven Brides for Seven Brothers","August 16, 1933"
79,nm0001056,2018-08-17,2018-08-17,,"Dabney Coleman","WarGames","January 3, 1932"
80,nm0001806,2018-08-17,2018-08-17,,"John Turturro","Fading Gigolo","February 28, 1957"
81,nm0001556,2018-08-17,2018-08-17,,"David Morse","The Green Mile","October 11, 1953"
82,nm0000653,2018-08-17,2018-08-17,,"Brent Spiner","Star Trek: First Contact","February 2, 1949"
83,nm0000119,2018-08-17,2018-08-17,,"Tia Carrere","Wayne's World","January 2"
84,nm0000193,2018-08-17,2018-08-17,,"Demi Moore","G.I. Jane","November 11, 1962"
85,nm0004051,2018-08-17,2018-08-17,,"Brian Cox","Succession","June 1, 1946"
86,nm0000153,2018-08-17,2018-08-17,,"Gina Gershon","Bound","June 10, 1962"
87,nm0505971,2018-08-17,2018-08-17,,"Ted Levine","The Silence of the Lambs","May 29, 1957"
88,nm0000379,2018-08-17,2018-08-17,,"Kirsten Dunst","Spider-Man","April 30, 1982"
89,nm0244630,2018-08-17,2018-08-17,,"Eliza Dushku","Bring It On","December 30, 1980"
90,nm0000612,2018-08-17,2018-08-17,,"Denise Richards","The World Is Not Enough","February 17, 1971"
91,nm0000693,2018-08-17,2018-08-17,,"Peter Weller","RoboCop","June 24, 1947"
92,nm0000295,2018-08-17,2018-08-17,,"Kate Beckinsale","Love & Friendship","July 26, 1973"
93,nm0000133,2018-08-17,2018-08-17,,"Geena Davis","Thelma & Louise","January 21, 1956"
94,nm0000421,2018-08-17,2018-08-17,,"Cuba Gooding Jr.","Jerry Maguire","January 2, 1968"
