A
Beverly Aadland 1942–2010[1]
"Mariann Aalda born May 7, 1948 (age 77)[2]"
"Caroline Aaron born August 7, 1952 (age 72)[3]"
"Diahnne Abbott born January 1, 1945 (age 80)"
"Rose Abdoo born November 28, 1962 (age 62)"
"Paula Abdul born June 19, 1962 (age 63)"
"Donzaleigh Abernathy born August 5, 1957 (age 67)"
"Whitney Able born June 2, 1982 (age 43)"
"Candice Accola born May 13, 1987 (age 38)"
"Amy Acker born December 5, 1976 (age 48)"
Jean Acker 1893–1978
Bettye Ackerman 1924–2006
"Isabella Acres born February 21, 2001 (age 24)"
"Amy Adams born August 20, 1974 (age 50) (born in Italy)"
"Brooke Adams born February 8, 1949 (age 76)"
Edie Adams 1927–2008
"Jane Adams born April 1, 1965 (age 60)"
"Joey Lauren Adams born January 9, 1968 (age 57)"
Julie Adams 1926–2019
Lillian Adams 1922–2011
"Mary Kay Adams born September 12, 1962 (age 62)"
Nancy Addison 1946–2002
"Shohreh Aghdashloo born May 11, 1952 (age 73) (Iranian-born)"
"Dianna Agron born April 30, 1986 (age 39)"
"Christina Aguilera born December 18, 1980 (age 44)"
"Lexi Ainsworth born October 28, 1992 (age 32)"
"Malin Åkerman born May 12, 1978 (age 47) (Swedish-born)"
"Jessica Alba born April 28, 1981 (age 44)"
Lola Albright 1924–2017
Denise Alexander 1939–2025
"Erika Alexander born November 19, 1969 (age 55)"
"Jaimie Alexander born March 12, 1984 (age 41)"
"Jane Alexander born October 28, 1939 (age 85)"
"Khandi Alexander born September 4, 1957 (age 67)"
"Sasha Alexander born May 17, 1973 (age 52)"
"Kristian Alfonso born September 5, 1963 (age 61)"
"Tatyana Ali born January 24, 1979 (age 46)"
Mary Alice 1936–2022
"Ana Alicia born December 12, 1956 (age 68) (born in Mexico)"
"Christa B. Allen born November 11, 1991 (age 33)"
"Debbie Allen born January 16, 1950 (age 75)"
Elizabeth Allen 1929–2006
"Joan Allen born August 20, 1956 (age 68)"
"Jonelle Allen born July 18, 1944 (age 81)"
"Karen Allen born October 5, 1951 (age 73)"
"Krista Allen born April 5, 1971 (age 54)"
"Laura Allen born March 21, 1974 (age 51)"
"Nancy Allen born June 24, 1950 (age 75)"
"Rosalind Allen born September 23, 1957 (age 67) (born in New Zealand)"
Kirstie Alley 1951–2022
"Jamie Anne Allman born April 6, 1977 (age 48)"
June Allyson 1917–2006
"Daniella Alonso born September 22, 1978 (age 46)"
"María Conchita Alonso born June 29, 1955 (age 70)"
"Trini Alvarado born January 10, 1967 (age 58)"
"Izabella Alvarez born March 1, 2004 (age 21)"
"Lauren Ambrose born February 20, 1978 (age 47)"
"Mädchen Amick born December 12, 1970 (age 54)"
"Suzy Amis born January 5, 1962 (age 63)"
"Eva Amurri born March 15, 1985 (age 40)"
"Kristina Anapau born October 30, 1979 (age 45)"
"Andrea Anders born May 10, 1975 (age 50)"
"Gillian Anderson born August 9, 1968 (age 56)"
"Loni Anderson born August 5, 1945 (age 79)"
"Mary Anderson, 1918–2014"
"Melissa Sue Anderson born September 26, 1962 (age 62) (American-Canadian)"
"Melody Anderson born December 3, 1955 (age 69)"
"Nicole Gale Anderson born August 29, 1990 (age 34)"
"Jennifer Aniston born February 11, 1969 (age 56)"
"Odette Annable born May 10, 1985 (age 40)"
"Susan Anton born October 12, 1950 (age 74)"
"Shiri Appleby born December 7, 1978 (age 46)"
"Christina Applegate born November 25, 1971 (age 53)"
"Anne Archer born August 24, 1947 (age 77)"
"Beverly Archer born July 19, 1948 (age 77)"
"Leila Arcieri born December 18, 1973 (age 51)"
Eve Arden 1908–1990
"Ashley Argota born January 9, 1993 (age 32)"
"Jillian Armenante born July 5, 1968 (age 57)"
"Bess Armstrong born December 11, 1953 (age 71)"
"Samaire Armstrong born October 31, 1980 (age 44) (born in Japan)"
Alexis Arquette 1969–2016
"Patricia Arquette born April 8, 1968 (age 57)"
"Rosanna Arquette born August 10, 1959 (age 65)"
Bea Arthur 1922–2009
Jean Arthur 1900–1991
"Katie Aselton born October 1, 1978 (age 46)"
"Ashanti born October 13, 1980 (age 44)"
"Elizabeth Ashley born August 30, 1939 (age 85)"
Mary Astor 1906–1987
"Hayley Atwell born April 5, 1982 (age 43) (British-American)"
"Margaret Avery born January 20, 1944 (age 81)"
"Awkwafina born June 2, 1988 (age 37)"
Nicki Aycox 1975–2022
"Rochelle Aytes born May 17, 1976 (age 49)"
"Candice Azzara born May 18, 1945 (age 80)"
B
Lauren Bacall 1924–2014
"Barbara Bach born August 28, 1946 (age 78)"
"Catherine Bach born March 1, 1954 (age 71)"
"Mary Badham born October 7, 1952 (age 72)"
"Jane Badler born December 31, 1953 (age 71)"
"Erykah Badu born February 26, 1971 (age 54)"
"Katherine Bailess born April 24, 1980 (age 45)"
"Laura Bailey born May 28, 1981 (age 44)"
Pearl Bailey 1918–1990
"Barbara Bain born September 13, 1931 (age 93)"
Fay Bainter 1893–1968
"Diora Baird born April 6, 1983 (age 42)"
"Blanche Baker born December 20, 1956 (age 68)"
"Carroll Baker born May 28, 1931 (age 94)"
"Diane Baker born February 25, 1938 (age 87)"
"Kathy Baker born June 8, 1950 (age 75)"
"Leigh-Allyn Baker born March 13, 1972 (age 53)"
"Brenda Bakke born May 15, 1963 (age 62)"
"Fairuza Balk born May 21, 1974 (age 51)"
Lucille Ball 1911–1989
Kaye Ballard 1925–2019
"Talia Balsam born March 5, 1959 (age 66)"
Anne Bancroft 1931–2005
Lisa Banes 1955–2021
Tallulah Bankhead 1902–1968
"Elizabeth Banks born February 10, 1974 (age 51)"
"Tyra Banks born December 4, 1973 (age 51)"
Theda Bara 1885–1955
"Christine Baranski born May 2, 1952 (age 73)"
"Adrienne Barbeau born June 11, 1945 (age 80)"
"Ellen Barkin born April 16, 1954 (age 71)"
Joanna Barnes 1934–2022
"Priscilla Barnes born December 7, 1954 (age 70)"
Claudia Barrett 1929–2021
Majel Barrett 1932–2008
"Barbara Barrie born May 23, 1931 (age 94)"
"Dana Barron born April 22, 1966 (age 59)"
"Drew Barrymore born February 22, 1975 (age 50)"
Ethel Barrymore 1879–1959
"Roseanne Barr born November 3, 1952 (age 72)"
"Bonnie Bartlett born June 20, 1929 (age 96)"
"Mischa Barton born January 24, 1986 (age 39)"
"Ella Jay Basco born September 17, 2006 (age 18)"
"Kim Basinger born December 8, 1953 (age 71)"
"Angela Bassett born August 16, 1958 (age 66)"
"Justine Bateman born February 19, 1966 (age 59)"
Florence Bates 1888–1954
"Kathy Bates born June 28, 1948 (age 77)"
"Cyia Batten born January 26, 1972 (age 53)"
Frances Bavier 1902–1989
Barbara Baxley 1923–1990
Anne Baxter 1923–1985
"Meredith Baxter born June 21, 1947 (age 78)"
"Jennifer Beals born December 19, 1963 (age 61)"
"Amanda Bearse born August 9, 1958 (age 66)"
"Madisen Beaty born February 28, 1995 (age 30)"
Louise Beavers 1902–1962
"Kimberly Beck born January 9, 1956 (age 69)"
"Irene Bedard born July 22, 1967 (age 58)"
"Bonnie Bedelia born March 25, 1948 (age 77)"
"Nicole Beharie born January 3, 1985 (age 40)"
"Beth Behrs born December 26, 1985 (age 39)"
Doris Belack 1926–2011
"Ashley Bell born May 26, 1986 (age 39)"
"Catherine Bell born August 14, 1968 (age 56) (born in England)"
"Jillian Bell born April 25, 1984 (age 41)"
"Kristen Bell born July 18, 1980 (age 45)"
"Lake Bell born March 24, 1979 (age 46)"
"Camilla Belle born October 2, 1986 (age 38)"
"Kathleen Beller born February 19, 1956 (age 69)"
"Troian Bellisario born October 28, 1985 (age 39)"
"Maria Bello born April 18, 1967 (age 58)"
Bea Benaderet 1906–1968
"Andrea Bendewald born March 4, 1970 (age 55)"
"Annette Bening born May 29, 1958 (age 67)"
Constance Bennett 1904–1965
"Haley Bennett born January 7, 1988 (age 37)"
Joan Bennett 1910–1990
"Melissa Benoist born October 4, 1988 (age 36)"
"Amber Benson born January 8, 1977 (age 48)"
"Ashley Benson born December 18, 1989 (age 35)"
"Jodi Benson born October 10, 1961 (age 63)"
"Julie Benz born May 1, 1972 (age 53)"
"Candice Bergen born May 9, 1946 (age 79)"
Polly Bergen 1930–2014
"Elizabeth Berkley born July 28, 1972 (age 53)"
"Jeannie Berlin born November 1, 1949 (age 75)"
"Crystal Bernard born September 30, 1961 (age 63)"
"Sandra Bernhard born June 6, 1955 (age 70)"
"Halle Berry born August 14, 1966 (age 58)"
"Valerie Bertinelli born April 23, 1960 (age 65)"
"Angela Bettis born January 9, 1973 (age 52)"
"Troy Beyer born November 7, 1964 (age 60)"
"Mayim Bialik born December 12, 1975 (age 49)"
"Leslie Bibb born November 17, 1973 (age 51)"
"Jessica Biel born March 3, 1982 (age 43)"
Barbara Billingsley 1915–2010
"Rachel Bilson born August 25, 1981 (age 43)"
"Traci Bingham born January 13, 1968 (age 57)"
"Thora Birch born March 11, 1982 (age 43)"
"Kerry Bishé born May 1, 1984 (age 41) (born in New Zealand)"
"Summer Bishil born July 17, 1988 (age 37)"
Julie Bishop 1914–2001
"Danielle Bisutti born October 1, 1976 (age 48)"
Karen Black 1939–2013
"Sofia Black-D'Elia born December 23, 1991 (age 33)"
"Joan Blackman born May 17, 1938 (age 87)"
Betsy Blair 1923–2009
"Linda Blair born January 22, 1959 (age 66)"
Patricia Blair 1933–2013
"Selma Blair born June 23, 1972 (age 53)"
Amanda Blake 1929–1989
"Susan Blakely born September 7, 1948 (age 76)"
"Ronee Blakley born August 24, 1945 (age 79)"
"Jolene Blalock born March 5, 1975 (age 50)"
"Rowan Blanchard born October 14, 2001 (age 23)"
"Tammy Blanchard born December 14, 1976 (age 48)"
Sally Blane 1910–1997
"Alexis Bledel born September 16, 1981 (age 43)"
"Yasmine Bleeth born June 14, 1968 (age 57)"
"Mary J. Blige born January 11, 1971 (age 54)"
"Trinity Bliss born November 6, 2009 (age 15)"
Joan Blondell 1906–1979
"Nikki Blonsky born November 9, 1988 (age 36)"
"Moon Bloodgood born September 20, 1975 (age 49)"
"Lindsay Bloom born August 28, 1950 (age 74)"
Verna Bloom 1938–2019
"Emily Blunt born February 23, 1983 (age 42) (British-born)"
"Ann Blyth born August 16, 1928 (age 96)"
Eleanor Boardman 1898–1991
Mary Boland 1880–1965
"Melissa Bolona born December 28, 1989 (age 35)"
Beulah Bondi 1889–1981
"Lisa Bonet born November 16, 1967 (age 57)"
Shirley Booth 1898–1992
Olive Borden 1906–1947
"Alex Borstein born February 15, 1973 (age 52)"
"Michelle Borth born August 19, 1978 (age 46)"
"Samantha Boscarino born December 26, 1994 (age 30)"
"Rachel Boston born May 9, 1982 (age 43)"
"Kate Bosworth born January 2, 1983 (age 42)"
"Barbara Bouchet born August 15, 1943 (age 81) (born in Germany)"
Julie Bovasso 1930–1991
Clara Bow 1905–1965
"Katrina Bowden born September 19, 1988 (age 36)"
"Lilan Bowden born September 1, 1985 (age 39)"
"Andrea Bowen born March 4, 1990 (age 35)"
"Julie Bowen born March 3, 1970 (age 55)"
"Jessica Bowman born November 26, 1980 (age 44)"
"Jenna Boyd born March 4, 1993 (age 32)"
Anise Boyer 1914–2008
"Lara Flynn Boyle born March 24, 1970 (age 55)"
"Lucy Boynton born January 17, 1994 (age 31)"
"Lorraine Bracco born October 2, 1954 (age 70)"
Alice Brady 1892–1939
"Alexandra Breckenridge born May 15, 1982 (age 43)"
"Tracey E. Bregman born May 29, 1963 (age 62) (born in Germany)"
Lucille Bremer 1917–1996
Eileen Brennan 1932–2013
"Amy Brenneman born June 22, 1964 (age 61)"
"Abigail Breslin born April 14, 1996 (age 29)"
"Jordana Brewster born April 26, 1980 (age 45) (born in Panama)"
