Title,Year,Runtime,IMDB Rating,Metascore,IMDB Votes,Box Office,Budget,Revenue,TMDB Rating,Vote Count,Month,Day,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Approved,G,GP,M,M/PG,NC-17,Not Rated,PG,PG-13,R,TV-MA,Unrated,Top_Production_Company,Top_Director,Top_Writer,Domestic,International,English_Language,Other_Language,Oscars_Won,Oscars_Nominated,Wins,Nominations,Descr_Sentiment,Tagline_Sentiment,Female_Lead,starpower
Four Brothers,2005,109,6.8,49.0,164844,74494381.0,45000000,92374674,6.8,2243,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,5,9,0,0,0,0.6666666666666666
The Adventures of Tintin,2011,107,7.3,68.0,249784,77591831.0,130000000,373993951,6.905,5539,12,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,22,63,0,1,0,1.3333333333333333
Green Lantern,2011,114,5.5,39.0,304201,116601172.0,200000000,219851172,5.174,7380,6,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,6,1,1,0,0.3333333333333333
The Beastmaster,1982,118,6.2,18.0,26055,14056528.0,8000000,14056528,6.3,420,8,20,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0.0
Kong: Skull Island,2017,118,6.7,62.0,362341,168052812.0,185000000,566652812,6.547,10723,3,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,22,1,1,0,1.0
Tag,2018,100,6.5,56.0,155889,54730625.0,28000000,75100000,6.71,3252,6,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0.0
Big Fat Liar,2002,88,5.5,36.0,41927,48360547.0,15000000,52970014,5.863,844,2,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1.0
The Chronicles of Narnia: Prince Caspian,2008,150,6.5,62.0,233863,141621490.0,225000000,419665568,6.62,6516,5,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4,21,1,1,0,0.0
Horrible Bosses,2011,98,6.9,57.0,479719,117538559.0,35000000,209838559,6.572,6492,7,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,14,0,0,0,1.0
Nacho Libre,2006,92,5.9,52.0,98480,80197993.0,35000000,99255460,6.51,1727,6,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11,0,1,0,0.3333333333333333
Star Trek Into Darkness,2013,132,7.7,72.0,504628,228778661.0,190000000,467381584,7.32,9298,5,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,7,58,1,1,0,0.6666666666666666
Maleficent: Mistress of Evil,2019,119,6.6,43.0,127081,113929605.0,185000000,491730089,7.302,6251,10,18,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,11,1,1,1,1.0
The Bad Guys,2022,100,6.8,64.0,68790,97459240.0,80000000,250162278,7.545,2200,4,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,30,1,0,0,0.0
48 Hrs.,1982,96,6.9,71.0,90372,78868508.0,12000000,78868508,6.686,1576,12,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,2,1,0,0,0.3333333333333333
The Living Daylights,1987,130,6.7,59.0,110287,51185897.0,40000000,191185897,6.528,1863,7,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,7,1,1,0,0.0
Carlito's Way,1993,144,7.9,66.0,241373,36948322.0,30000000,63848322,7.833,3282,11,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,9,0,1,0,1.3333333333333333
Heartbreak Ridge,1986,130,6.8,53.0,50195,42724017.0,15000000,42700000,6.88,1050,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0.6666666666666666
Species,1995,108,5.9,49.0,88790,60074103.0,35000000,113400000,6.0,1711,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,8,0,0,1,1.3333333333333333
A Cinderella Story,2004,95,5.9,25.0,98256,51438175.0,19000000,70067909,6.578,3270,7,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,6,8,1,1,1,0.3333333333333333
Demolition,2016,101,7.0,49.0,123235,1978592.0,10000000,4366460,6.823,2318,4,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,2.0
End of Watch,2012,109,7.6,68.0,281984,41003371.0,7000000,55078146,7.351,3393,9,21,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,10,0,1,0,1.6666666666666667
The Hunchback of Notre Dame,1996,91,7.0,74.0,179425,100138851.0,100000000,325300000,7.117,5147,6,21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,8,26,1,1,1,1.3333333333333333
Tarzan,1999,88,7.3,80.0,260982,171091819.0,130000000,448200000,7.4,6996,6,18,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,11,23,1,1,0,0.0
Dressed to Kill,1980,104,7.1,74.0,52818,31899000.0,6500000,31899000,6.957,1016,7,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,10,0,0,0,0.6666666666666666
Mandy,2018,121,6.5,83.0,95778,1233694.0,6000000,1653784,6.192,1996,9,14,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,43,0,0,0,1.0
The BFG,2016,117,6.3,66.0,96806,55483770.0,140000000,195243411,6.282,3469,7,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,4,26,1,1,0,0.0
Richard Jewell,2019,131,7.5,68.0,101229,22345542.0,45000000,33900000,7.425,2586,12,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,6,20,1,1,0,0.0
Queen of the Damned,2002,101,5.3,30.0,62468,30336800.0,35000000,45479110,6.1,1097,2,22,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,7,1,1,0,0.0
The Bourne Legacy,2012,135,6.6,61.0,322486,113203870.0,130000000,276600000,6.234,5834,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,12,0,1,0,1.3333333333333333
Double Jeopardy,1999,105,6.5,41.0,99974,116741558.0,70000000,177841558,6.605,1382,9,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3,1,0,1,1.0
Renfield,2023,93,6.4,53.0,114119,17297895.0,65000000,26874347,6.477,1919,4,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,13,1,0,0,1.3333333333333333
Valkyrie,2008,121,7.1,56.0,267657,83077833.0,75000000,200276000,6.948,3843,12,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,11,0,0,0,1.3333333333333333
Daddy's Home 2,2017,100,6.0,30.0,88662,104029443.0,69000000,180613180,6.3,2618,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,8,0,0,0,0.6666666666666666
National Treasure: Book of Secrets,2007,124,6.5,48.0,261790,219964115.0,130000000,459200000,6.362,5288,12,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,5,0,1,0,1.6666666666666667
All About Eve,1950,138,8.2,98.0,145739,63463.0,1400000,8400000,8.077,1595,10,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,0,27,22,1,1,1,0.0
Predators,2010,107,6.4,51.0,250491,52000688.0,40000000,127200000,6.279,4319,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,4,1,0,0,0.3333333333333333
Eighth Grade,2018,93,7.4,87.0,83906,13539709.0,2000000,13539709,7.164,1580,8,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,60,94,1,0,1,0.0
Sin City: A Dame to Kill For,2014,102,6.5,46.0,173628,13757804.0,65000000,39407616,6.392,3955,8,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,6,1,0,0,0.0
Wall Street,1987,126,7.3,56.0,170237,43848069.0,15000000,43900000,7.164,2126,12,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,9,4,1,1,0,1.0
Monster House,2006,91,6.7,68.0,147650,73661010.0,75000000,140175006,6.692,4095,7,21,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4,23,0,1,0,0.0
The Insider,1999,157,7.8,85.0,187095,29089912.0,90000000,60300000,7.458,1900,11,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,23,58,0,0,0,2.0
Ambulance,2022,136,6.1,55.0,108338,22781115.0,40000000,52303589,6.649,2251,4,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,11,0,0,0,0.6666666666666666
Dick Tracy,1990,105,6.2,68.0,68468,103738726.0,47000000,103738726,6.155,973,6,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,9,37,1,0,0,1.3333333333333333
Minions: The Rise of Gru,2022,87,6.5,56.0,98505,370549695.0,85000000,940203765,7.294,3783,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,18,0,1,0,0.0
Good Luck Chuck,2007,96,5.6,19.0,96879,35017297.0,25000000,59768495,5.9,1559,9,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3,1,1,0,0.0
The Cannonball Run,1981,95,6.2,28.0,42098,72179579.0,18000000,72179579,6.2,659,6,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,1,1,0,0.0
The Giver,2014,97,6.4,47.0,128044,45090374.0,25000000,66980456,6.556,4498,8,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,6,0,1,0,1.3333333333333333
The Mortal Instruments: City of Bones,2013,130,5.8,33.0,141430,31165421.0,60000000,95396573,6.443,4519,8,21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6,11,1,1,1,0.0
Moonstruck,1988,102,7.2,83.0,74608,80640528.0,15000000,122100000,6.863,1015,1,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,0,18,19,1,1,1,1.0
Singin' in the Rain,1952,103,8.3,99.0,274414,1884537.0,2540800,7200000,8.148,3286,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,11,11,0,1,0,0.0
Twin Peaks: Fire Walk with Me,1992,134,7.3,45.0,113873,4160851.0,10000000,4248389,7.4,2062,8,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,4,7,0,0,1,0.0
Freaky Friday,2003,97,6.3,70.0,160629,110230332.0,26000000,160846332,6.532,3922,8,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,5,11,0,0,1,1.3333333333333333
Ocean's Thirteen,2007,122,6.9,62.0,378366,117154724.0,85000000,311312624,6.722,6530,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,5,0,1,0,2.0
Network,1976,121,8.1,83.0,176692,23689877.0,3800000,23700000,7.811,1851,11,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,0,20,27,1,0,1,0.0
The Hunger Games: Mockingjay - Part 1,2014,123,6.6,64.0,528700,337135885.0,125000000,755356711,6.815,16180,11,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,21,32,1,1,1,0.6666666666666666
Contagion,2011,106,6.8,70.0,324795,75658097.0,60000000,137551594,6.645,6242,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,14,0,0,0,2.0
Super Troopers,2002,100,7.0,48.0,115111,18492362.0,3000000,23182223,6.545,1149,2,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0.0
Crimson Peak,2015,119,6.5,66.0,162346,31090320.0,55000000,74700000,6.658,5033,10,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,7,44,1,1,0,1.3333333333333333
The Three Musketeers,2011,110,5.7,35.0,114290,20374484.0,4474000,8412000,6.709,149,10,21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,5,1,1,0,0.0
Outbreak,1995,127,6.6,64.0,142611,67659560.0,50000000,189900000,6.568,2343,3,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,5,5,0,0,0,2.0
War for the Planet of the Apes,2017,140,7.4,82.0,317262,146880162.0,150000000,490719763,7.207,9310,7,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,28,65,1,1,0,1.0
Monsters University,2013,104,7.2,65.0,411795,268492764.0,200000000,743600000,7.041,10906,6,21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,9,58,1,0,0,0.3333333333333333
It Comes at Night,2017,91,6.1,78.0,107673,13985117.0,5000000,19280931,5.862,2491,6,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,13,0,0,0,0.3333333333333333
Space Jam,1996,88,6.5,57.0,222382,90594962.0,80000000,250200000,6.813,6155,11,15,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,8,0,0,0,0.0
Anchorman 2: The Legend Continues,2013,119,6.3,61.0,198344,127352707.0,50000000,173700000,6.134,2660,12,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,23,1,1,0,0.6666666666666666
The Pledge,2001,124,6.7,71.0,72050,19733089.0,35000000,29419291,6.567,1114,1,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6,1,1,0,1.3333333333333333
Parker,2013,118,6.2,42.0,133594,17616641.0,35000000,46216641,6.065,3121,1,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.0
Mike and Dave Need Wedding Dates,2016,98,6.0,51.0,97026,46009673.0,33000000,77100000,6.05,2510,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,1.3333333333333333
Silkwood,1984,131,7.1,65.0,23276,35615609.0,10000000,35600000,7.0,328,1,27,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,2,19,1,0,1,0.6666666666666666
Days of Thunder,1990,107,6.1,60.0,101796,82670733.0,60000000,157920733,6.371,1567,6,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,1.3333333333333333
Hackers,1995,105,6.2,46.0,78540,7563728.0,20000000,7563728,6.38,1355,9,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.6666666666666666
Cinderella Man,2005,144,8.0,69.0,205174,61649911.0,88000000,108539911,7.561,2272,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,3,16,45,1,1,0,1.3333333333333333
Stepmom,1998,125,6.8,58.0,77395,91137662.0,50000000,159710793,7.156,1473,12,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,8,7,0,1,1,2.0
Twins,1988,107,6.2,50.0,143165,111938388.0,15000000,216614388,6.039,2358,12,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,1,0,0,1.3333333333333333
Mortal Kombat,2021,110,6.1,44.0,197273,42326031.0,20000000,84426031,7.015,6024,4,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4,9,1,1,0,0.0
Mortal Kombat,2021,110,6.1,44.0,197273,42326031.0,20000000,84426031,7.015,6024,4,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4,9,1,1,0,0.0
Superman II,1981,127,6.8,83.0,119346,108185706.0,54000000,216385706,6.746,2364,6,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,7,1,1,0,0.6666666666666666
Charlie's Angels: Full Throttle,2003,106,4.9,48.0,136835,100830111.0,120000000,259175788,5.5,3128,6,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,9,21,1,1,1,0.6666666666666666
King Kong,2005,187,7.2,81.0,461263,218080025.0,207000000,562363449,6.887,8103,12,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,3,0,47,104,1,1,0,1.0
Fright Night,2011,106,6.4,64.0,117301,18302607.0,9000000,24922237,7.039,1435,8,19,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,8,0,1,0,0.3333333333333333
Maid in Manhattan,2002,105,5.4,45.0,100087,94011225.0,55000000,154906693,6.125,1952,12,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,8,1,1,1,0.6666666666666666
